eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
259,1259114,1.390010871546818,1.8258903829287536e-06,0.9999472420643848,ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl
260,31,1.3484699318441462,1.809855725938439e-06,0.9999490519201107,N#N
261,8636,1.386011041619721,1.7880620169828135e-06,0.9999508399821277,F[P-](F)(F)(F)(F)F
262,51587,1.388516115421497,1.7701898349390427e-06,0.9999526101719627,OC1=NC(=O)N(Cl)C(=O)N1Cl
263,56621,1.3852027377278642,1.7468757379704437e-06,0.9999543570477006,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
264,617,1.3762091444466373,1.7180016917526182e-06,0.9999560750493924,C1OOCOO1
265,426821,1.3872478557358714,1.695389964115966e-06,0.9999577704393565,ClC(Cl)=C1C(=C(Cl)Cl)C(Cl)(Cl)C1(Cl)Cl
266,9050,1.3877394694116625,1.6808785372512002e-06,0.9999594513178938,ClP(Cl)(Cl)(Cl)Cl
267,2081,1.376740727424877,1.6135283354956994e-06,0.9999610648462293,[N-]=[N+]=[N-]
268,15705,1.3725818840508501,1.5935461160921666e-06,0.9999626583923453,O=C1SC2=C(S1)SC(=O)S2
269,8636,1.3616484046961803,1.5699810965976756e-06,0.9999642283734419,F[P-](F)(F)(F)(F)F
270,145545,1.3799125298856123,1.5544012443076004e-06,0.9999657827746862,BrC1C(Br)C(=C(Br)Br)C1=C(Br)Br
271,8636,1.3852392261200395,1.5167396163236777e-06,0.9999672995143025,F[P-](F)(F)(F)(F)F
272,1249,1.3796088289371944,1.5106128094486174e-06,0.9999688101271119,[O-][N+]#N
273,1793,1.3735702342319986,1.4580711646107498e-06,0.9999702681982765,IC(I)=C(I)I
274,1793,1.3888036959374024,1.450262908292472e-06,0.9999717184611848,IC(I)=C(I)I
275,9050,1.358316362524665,1.4116108667340235e-06,0.9999731300720516,ClP(Cl)(Cl)(Cl)Cl
276,31,1.3777433254229987,1.3925807590069624e-06,0.9999745226528106,N#N
277,1220,1.3663661145246235,1.3839951105426335e-06,0.9999759066479211,FC(F)=C(F)F
278,5261,1.3826855794407247,1.3776795682345343e-06,0.9999772843274893,O[Cl](=O)(=O)=O
279,31,1.3748212326492095,1.333051403573623e-06,0.9999786173788929,N#N
280,8636,1.3415061161808242,1.3110952112920768e-06,0.9999799284741042,F[P-](F)(F)(F)(F)F
281,963943,1.399047117391598,1.2876848581418508e-06,0.9999812161589624,FC(COC(=S)OCC(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
282,8636,1.374797282985527,1.2561561936908495e-06,0.9999824723151561,F[P-](F)(F)(F)(F)F
283,5216,1.3810542994689141,1.2276972175923762e-06,0.9999837000123737,FS(F)(F)(F)(F)F
284,9050,1.3778284090863377,1.2088543162563576e-06,0.9999849088666899,ClP(Cl)(Cl)(Cl)Cl
285,15736,1.381785417327364,1.1913790539941142e-06,0.9999861002457439,O=C1SC2=C(S1)SSSSS2
286,1220,1.3957282212756539,1.1704806557709373e-06,0.9999872707263996,FC(F)=C(F)F
287,4040,1.3853757242354745,1.1381650737241928e-06,0.9999884088914733,O[I](=O)(=O)=O
288,243,1.3777629649544219,1.116011667118706e-06,0.9999895249031404,IC(I)I
289,8636,1.389996202734259,1.083158588385398e-06,0.9999906080617288,F[P-](F)(F)(F)(F)F
290,9050,1.3535228347163786,1.0611063224441476e-06,0.9999916691680513,ClP(Cl)(Cl)(Cl)Cl
291,704526,1.3870488190901695,1.0406345828351973e-06,0.9999927098026341,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1
292,617,1.392100710456758,1.0144610015020657e-06,0.9999937242636356,C1OOCOO1
293,9050,1.3795501621817436,9.893896806071806e-07,0.9999947136533163,ClP(Cl)(Cl)(Cl)Cl
294,12071,1.3857624017303252,9.596213856603078e-07,0.999995673274702,BrC(Br)C(Br)(Br)Br
295,155,1.3960133227420524,9.383385401903334e-07,0.9999966116132422,O=C=O
296,31,1.3771985192301985,9.101520608450794e-07,0.999997521765303,N#N
297,9050,1.341067904460302,8.582586880225082e-07,0.999998380023991,ClP(Cl)(Cl)(Cl)Cl
298,5261,1.391342957697995,7.972005440017918e-07,0.999999177224535,O[Cl](=O)(=O)=O
299,82944,1.3841413178751287,7.833604947310175e-07,0.9999999605850297,O=[I](=O)c1ccc(cc1)[I](=O)=O
